codec, frameNum, targetBitrate, framerate,  intraPeriod, statTime, ipQpDelta, numOfPixel, maxIprop, minIprop,  maxQp, minQp, maxIQp, minIQp, firstFrmstartQp, rcMdlUpdatType
2, 360, 2048000, 30,                        60, 2, -3, 2073600, 50, 1, 46, 0, 44, 0, 32, 0 
targetBit, picQp, picLambda, encodedBit,  encodedQp, encodedLambda, madi, mse, skipRatio, alpha, beta
60366, 35, 158.177278, 62512,    34.796691, 151.338551, 11.706074, 48.250208,  0.720926,  2.847977,  -1.135402
60246, 35, 158.274545, 61632,    34.798775, 151.413629, 11.640889, 48.261280,  0.735617,  2.845341,  -1.133776
60125, 35, 157.582059, 62768,    34.787500, 151.007767, 11.607901, 47.781506,  0.723457,  2.846217,  -1.134314
59871, 35, 158.691698, 63752,    34.800490, 151.475486, 11.586173, 47.662001,  0.729290,  2.849733,  -1.136465
59365, 35, 161.655404, 62488,    34.700000, 147.894683, 11.565827, 47.504588,  0.735772,  2.845358,  -1.133777
58511, 35, 162.518034, 61752,    34.738113, 149.242694, 11.535210, 47.331622,  0.732901,  2.841928,  -1.131659
56136, 35, 168.837746, 57368,    34.888603, 154.686507, 11.535012, 48.334469,  0.748765,  2.832980,  -1.126011
62009, 35, 147.428285, 62176,    34.999020, 158.806596, 11.495309, 47.442741,  0.735679,  2.843938,  -1.132793
62004, 35, 151.577586, 63240,    34.867034, 153.894262, 11.474568, 46.887269,  0.715833,  2.849271,  -1.136066
61965, 35, 153.726175, 61864,    34.775245, 150.567846, 11.469037, 47.059108,  0.727284,  2.846047,  -1.134079
61965, 35, 152.487657, 62576,    34.873407, 154.127911, 11.523160, 47.322789,  0.729630,  2.849153,  -1.135989
61933, 35, 153.768560, 63560,    34.895588, 154.943960, 11.565037, 47.281181,  0.725494,  2.854432,  -1.139218
61841, 35, 156.076509, 63552,    34.913971, 155.623516, 11.668346, 47.941841,  0.723395,  2.858455,  -1.141673
61702, 35, 158.053059, 62688,    34.933824, 156.360785, 11.682173, 47.935753,  0.732284,  2.859500,  -1.142313
61544, 35, 158.934681, 62696,    34.926103, 156.073655, 11.687506, 47.610461,  0.723241,  2.859932,  -1.142577
61226, 35, 160.050947, 63960,    34.970956, 157.749139, 11.720889, 47.546303,  0.727654,  2.864998,  -1.145659
59954, 35, 166.029885, 61944,    34.920711, 155.873433, 11.746963, 47.659412,  0.728148,  2.861315,  -1.143402
63723, 35, 153.419045, 65312,    34.906495, 155.346804, 11.815901, 47.900974,  0.714012,  2.867130,  -1.146916
63678, 35, 155.749838, 63800,    34.894853, 154.916839, 11.853827, 47.961873,  0.737006,  2.866676,  -1.146640
63670, 35, 155.598131, 63960,    34.922426, 155.937112, 11.847111, 47.863666,  0.728056,  2.867735,  -1.147282
63655, 35, 156.046500, 63240,    34.775613, 150.581025, 11.896691, 47.888882,  0.722963,  2.861547,  -1.143517
63662, 35, 153.658499, 63696,    34.833578, 152.673403, 11.930667, 47.904212,  0.724383,  2.860711,  -1.143009
63653, 35, 153.369358, 62112,    34.810662, 151.842731, 11.923951, 47.817393,  0.730833,  2.855274,  -1.139674
63736, 35, 151.085639, 61656,    34.812377, 151.904763, 11.992889, 48.310816,  0.736389,  2.850647,  -1.136826
63913, 35, 148.882089, 61456,    34.827083, 152.437512, 12.033778, 48.170910,  0.725617,  2.847659,  -1.134982
64292, 35, 146.786369, 58104,    34.768015, 150.308893, 12.067556, 48.135622,  0.738117,  2.834681,  -1.126836
602428, 31, 61.292388, 595224,    31.630515, 71.218853, 12.107654, 32.810132,  0.000000,  6.649545,  1.780983
58349, 35, 158.445456, 32736,    34.032966, 126.179012, 12.148543, 38.188423,  0.817593,  2.710099,  -1.035673
59059, 33, 108.030775, 49680,    33.119240, 101.511677, 12.127407, 36.633794,  0.798117,  2.677394,  -1.013158
59419, 33, 97.904773, 54120,    33.268505, 105.183750, 12.135704, 36.514157,  0.768858,  2.674322,  -1.011066
59724, 33, 96.569151, 59488,    33.408578, 108.750437, 12.068543, 36.571680,  0.747191,  2.689672,  -1.021258
59906, 33, 100.386496, 62128,    33.619853, 114.360205, 11.999210, 37.194204,  0.736852,  2.712201,  -1.035949
60028, 33, 106.413178, 65808,    33.633578, 114.734498, 11.943309, 37.926790,  0.743117,  2.735326,  -1.050658
59982, 34, 113.151580, 65048,    34.454902, 139.512009, 11.924741, 38.467334,  0.718673,  2.775618,  -1.076156
59968, 34, 125.705485, 64480,    34.250123, 132.873758, 11.832494, 38.628279,  0.731358,  2.794149,  -1.087742
60012, 34, 131.742453, 64680,    34.183456, 130.781548, 11.751506, 38.578444,  0.732840,  2.804510,  -1.094170
60092, 34, 135.079922, 65880,    34.128309, 129.075780, 11.674864, 38.935324,  0.731914,  2.812244,  -1.098926
58340, 35, 142.305601, 62752,    34.997672, 158.755640, 11.697383, 41.495955,  0.711667,  2.838890,  -1.115498
58216, 35, 152.770094, 61736,    34.939951, 156.589041, 11.634568, 41.977687,  0.723981,  2.851688,  -1.123418
58096, 35, 158.233138, 61888,    34.908824, 155.432940, 11.536790, 42.142936,  0.718889,  2.859270,  -1.128087
57933, 35, 161.833027, 62008,    34.924632, 156.019023, 11.503210, 42.583080,  0.723611,  2.865000,  -1.131604
57713, 35, 164.918820, 61008,    34.875858, 154.217871, 11.463704, 42.962908,  0.725247,  2.864387,  -1.131226
57455, 35, 165.500977, 61840,    34.901225, 155.152041, 11.477136, 43.345527,  0.731389,  2.867055,  -1.132862
57014, 35, 168.087242, 60472,    34.844853, 153.083742, 11.470222, 43.574503,  0.738981,  2.863211,  -1.130493
56396, 35, 168.505375, 58984,    34.915809, 155.691635, 11.423012, 43.292570,  0.736420,  2.859150,  -1.127968
55344, 35, 170.321504, 56912,    34.869118, 153.970608, 11.314765, 43.192752,  0.755741,  2.849227,  -1.121729
52705, 35, 175.284110, 55248,    34.844608, 153.074810, 11.269728, 43.470390,  0.760648,  2.837456,  -1.114241
57971, 35, 152.724874, 60120,    34.931618, 156.278694, 11.275457, 43.297378,  0.725833,  2.846471,  -1.119865
57911, 35, 156.505198, 59472,    34.829289, 152.517585, 11.254519, 43.562531,  0.732407,  2.847035,  -1.120217
57858, 35, 156.896995, 59512,    34.772917, 150.484406, 11.274074, 44.056708,  0.733889,  2.845589,  -1.119315
57785, 35, 156.530182, 61200,    34.860172, 153.643036, 11.305481, 44.283846,  0.724259,  2.852082,  -1.123334
57621, 35, 159.673176, 60440,    34.763235, 150.137966, 11.377778, 44.635187,  0.722315,  2.850952,  -1.122634
57426, 35, 159.814068, 62056,    34.704779, 148.063056, 11.398716, 44.554221,  0.723025,  2.852471,  -1.123569
57036, 35, 161.672521, 60712,    34.718137, 148.534655, 11.391210, 44.321414,  0.722901,  2.850392,  -1.122282
56496, 35, 162.535380, 59872,    34.695711, 147.743741, 11.353481, 44.059103,  0.726667,  2.846077,  -1.119599
55521, 35, 163.891229, 58320,    34.758824, 149.980360, 11.370272, 44.220596,  0.729907,  2.841291,  -1.116596
52983, 35, 170.527294, 58232,    34.791299, 151.144403, 11.365728, 44.740220,  0.733858,  2.839134,  -1.115240
57344, 35, 155.236748, 61936,    34.840564, 152.927505, 11.373037, 44.475965,  0.704691,  2.849202,  -1.121465
57215, 35, 159.705763, 61296,    34.717525, 148.512989, 11.287309, 44.057646,  0.722315,  2.849855,  -1.121869
57076, 35, 160.411273, 59600,    34.749632, 149.652544, 11.274864, 44.199964,  0.723920,  2.846877,  -1.120015
56958, 35, 159.552114, 60888,    34.875613, 154.208872, 11.220148, 44.123398,  0.719784,  2.852666,  -1.123602
56746, 35, 162.631266, 60352,    34.922794, 155.950761, 11.168000, 44.046507,  0.718981,  2.856557,  -1.126014
56476, 35, 165.157312, 60096,    34.895343, 154.934919, 11.192691, 44.279435,  0.727191,  2.857423,  -1.126550
56087, 35, 166.821100, 59296,    34.882353, 154.456517, 11.179654, 44.556803,  0.734537,  2.855375,  -1.125277
55506, 35, 167.892735, 60016,    34.860907, 153.669934, 11.299358, 44.832386,  0.733395,  2.855288,  -1.125223
54252, 35, 172.223086, 60144,    34.893260, 154.858095, 11.360988, 45.464231,  0.722747,  2.856674,  -1.126082
50461, 36, 187.537368, 54184,    35.665074, 186.094103, 11.300148, 46.254002,  0.721667,  2.867017,  -1.132680
59309, 35, 160.635079, 67120,    34.956740, 157.216173, 11.218370, 45.108833,  0.703364,  2.884022,  -1.142854
59091, 35, 168.241037, 62696,    34.655515, 146.336672, 11.239111, 45.253547,  0.731574,  2.873664,  -1.136571
58959, 35, 164.351461, 63800,    34.759069, 149.989111, 11.270123, 45.460216,  0.719660,  2.873412,  -1.136418
58747, 35, 164.918154, 61560,    34.725123, 148.781869, 11.278222, 45.065902,  0.732407,  2.866252,  -1.132036
58561, 35, 162.543881, 61192,    34.710784, 148.274874, 11.244642, 44.772721,  0.743981,  2.860214,  -1.128326
58317, 35, 160.824655, 60488,    34.714828, 148.417697, 11.216790, 44.475169,  0.727932,  2.854631,  -1.124876
57995, 35, 159.532742, 61128,    34.713480, 148.370074, 11.221531, 44.329933,  0.723549,  2.852722,  -1.123697
57407, 35, 160.587002, 59200,    34.734314, 149.107777, 11.293827, 44.610850,  0.734414,  2.847072,  -1.120176
56470, 35, 161.201962, 59088,    34.815441, 152.015599, 11.342420, 44.687472,  0.729877,  2.845946,  -1.119473
53686, 35, 170.089449, 55608,    34.749632, 149.652544, 11.408593, 45.273222,  0.742623,  2.833334,  -1.111454
61568, 35, 141.218605, 63336,    34.750000, 149.665643, 11.446123, 44.829533,  0.711914,  2.846020,  -1.119264
61519, 35, 145.933463, 58936,    34.565686, 143.240461, 11.447309, 44.447903,  0.734568,  2.836537,  -1.113332
61596, 35, 142.245637, 58856,    34.539706, 142.357243, 11.495309, 44.318817,  0.724105,  2.829464,  -1.108891
61696, 34, 139.441036, 62968,    33.693873, 116.393277, 11.557136, 42.576284,  0.745370,  2.807106,  -1.095085
61659, 34, 131.872980, 62320,    33.733088, 117.485008, 11.605926, 42.317418,  0.743056,  2.792530,  -1.085985
61640, 34, 127.100706, 57344,    33.675123, 115.874884, 11.632198, 42.216705,  0.752160,  2.768664,  -1.070654
61921, 34, 118.819753, 51392,    33.682966, 116.091447, 11.603358, 41.391066,  0.776142,  2.737822,  -1.050059
62888, 33, 107.537497, 56704,    33.006863, 98.831906, 11.580840, 40.272521,  0.773642,  2.711387,  -1.032683
64155, 33, 98.177876, 63136,    33.112132, 101.340050, 11.526321, 39.445868,  0.743117,  2.713441,  -1.034005
494054, 32, 77.767408, 494736,    32.550123, 88.649090, 11.434074, 34.839154,  0.000000,  6.653631,  1.781184
59510, 33, 106.683284, 50648,    32.534069, 88.310928, 11.367704, 35.922496,  0.794321,  2.665179,  -1.000993
59755, 33, 92.810834, 64280,    33.204902, 103.603081, 11.313778, 36.376927,  0.730309,  2.689572,  -1.016890
59637, 33, 99.294083, 66424,    33.124265, 101.633175, 11.250173, 36.466719,  0.743426,  2.707443,  -1.028321
59408, 33, 104.502926, 66744,    33.020343, 99.149590, 11.216395, 36.697813,  0.734537,  2.716530,  -1.034088
59090, 33, 107.619640, 68240,    32.982230, 98.254037, 11.168198, 36.789655,  0.741543,  2.724383,  -1.039023
58570, 33, 110.857691, 68152,    33.014216, 99.005062, 11.100444, 36.840625,  0.731481,  2.730425,  -1.042810
57795, 34, 114.189684, 63416,    33.759069, 118.213913, 11.061926, 37.353070,  0.724722,  2.748367,  -1.054267
56898, 34, 121.744183, 62232,    33.785417, 118.957751, 11.072593, 37.789253,  0.735833,  2.758167,  -1.060519
55253, 34, 128.904670, 62576,    33.793015, 119.173122, 11.057185, 37.836943,  0.740185,  2.765545,  -1.065201
50228, 35, 145.512476, 54032,    34.609681, 144.748614, 11.023012, 40.432506,  0.746883,  2.775567,  -1.071810
59034, 34, 125.880150, 67600,    33.924510, 122.962800, 10.882173, 37.338539,  0.717778,  2.792464,  -1.082230
58796, 34, 132.007402, 66488,    33.745588, 117.835145, 10.842272, 37.246949,  0.735185,  2.795182,  -1.083905
58534, 34, 133.573965, 67384,    33.840931, 120.540358, 10.842469, 37.529087,  0.725278,  2.802162,  -1.088183
58164, 34, 136.908476, 66896,    33.793750, 119.193985, 10.962963, 38.125098,  0.733210,  2.804074,  -1.089355
57692, 34, 138.803280, 62792,    33.721936, 117.173509, 10.907654, 38.368083,  0.751975,  2.793261,  -1.082612
57234, 34, 136.135577, 62264,    33.837868, 120.452471, 10.837531, 38.201902,  0.748210,  2.788901,  -1.079875
56584, 34, 136.267425, 61472,    33.729779, 117.392499, 10.772543, 37.563052,  0.743488,  2.780587,  -1.074631
55563, 34, 135.951062, 62000,    33.862377, 121.157362, 10.725136, 37.493261,  0.752130,  2.780945,  -1.074857
53458, 35, 141.850352, 57600,    34.789461, 151.078273, 10.749827, 39.737177,  0.739537,  2.800861,  -1.087689
48238, 35, 167.433866, 54576,    34.861887, 153.705804, 10.748840, 40.248101,  0.754290,  2.807682,  -1.092118
58160, 34, 139.128625, 69224,    33.937868, 123.354452, 10.768593, 37.961309,  0.724259,  2.817486,  -1.098053
57852, 35, 143.441546, 61816,    34.581618, 143.784765, 10.821531, 40.360837,  0.723333,  2.828071,  -1.104653
57700, 35, 147.850777, 60552,    34.563113, 143.152729, 10.813630, 40.308429,  0.739444,  2.831039,  -1.106506
57549, 35, 149.427340, 59736,    34.430760, 138.712471, 10.782420, 40.059928,  0.725556,  2.826348,  -1.103568
57381, 35, 148.090932, 60312,    34.431618, 138.740803, 10.749630, 39.872374,  0.728549,  2.824898,  -1.102660
57118, 35, 148.283128, 59680,    34.485294, 140.525091, 10.747852, 39.789174,  0.738272,  2.824139,  -1.102184
56763, 35, 149.012964, 60376,    34.535907, 142.228550, 10.731654, 39.978640,  0.739352,  2.827163,  -1.104077
56113, 35, 152.114208, 59616,    34.441667, 139.073115, 10.698074, 39.899204,  0.742222,  2.823944,  -1.102056
54908, 35, 154.488957, 57464,    34.511642, 141.409318, 10.701235, 39.893375,  0.748673,  2.818533,  -1.098621
51828, 35, 162.248681, 54080,    34.625123, 145.281694, 10.641580, 40.243602,  0.763611,  2.809549,  -1.092809
57339, 35, 141.753620, 57736,    34.606005, 144.621979, 10.649679, 39.865762,  0.733549,  2.813422,  -1.095278
57326, 35, 143.244774, 58760,    34.667525, 146.755667, 10.621432, 39.771723,  0.750895,  2.820633,  -1.099844
57282, 35, 146.110551, 57000,    34.484191, 140.488197, 10.582914, 39.611962,  0.752099,  2.814333,  -1.095831
57286, 35, 143.688359, 58744,    34.565931, 143.248819, 10.610765, 39.563819,  0.754414,  2.817778,  -1.098012
57218, 35, 145.183889, 59536,    34.659069, 146.460536, 10.600099, 39.387629,  0.742315,  2.825154,  -1.102659
57083, 35, 148.396321, 59912,    34.606373, 144.634637, 10.612741, 39.324912,  0.749969,  2.829059,  -1.105109
56860, 35, 150.567450, 58800,    34.628676, 145.404665, 10.639012, 39.488151,  0.755370,  2.829368,  -1.105303
56578, 35, 151.516797, 58576,    34.635294, 145.633922, 10.683259, 39.466799,  0.755864,  2.829190,  -1.105191
56045, 35, 153.041500, 57400,    34.556740, 142.935717, 10.728889, 39.645449,  0.751728,  2.823261,  -1.101432
54734, 35, 154.638580, 57200,    34.669485, 146.824189, 10.746074, 39.674381,  0.751574,  2.822790,  -1.101133
59606, 34, 140.603269, 66032,    33.857353, 121.012524, 10.766815, 37.782919,  0.744259,  2.817521,  -1.097916
59427, 34, 139.206570, 65376,    33.765931, 118.407208, 10.855901, 37.942393,  0.752377,  2.809478,  -1.092982
59225, 34, 136.908188, 63712,    33.773775, 118.628503, 10.889679, 37.982812,  0.762531,  2.800558,  -1.087453
59024, 34, 134.312741, 62696,    33.793382, 119.183553, 10.907852, 37.742791,  0.755401,  2.793014,  -1.082741
58798, 34, 132.268938, 62576,    33.809314, 119.636443, 10.971457, 37.843256,  0.743858,  2.788410,  -1.079855
58488, 34, 131.448428, 61392,    33.790441, 119.100130, 10.975802, 37.830486,  0.760988,  2.781949,  -1.075778
58097, 34, 130.185511, 60912,    33.793015, 119.173122, 11.024198, 37.888647,  0.752037,  2.776733,  -1.072471
57486, 34, 129.880943, 59832,    33.753554, 118.058815, 11.082864, 38.037833,  0.766975,  2.769439,  -1.067814
56397, 34, 130.020811, 57904,    33.794853, 119.225286, 11.151802, 38.274828,  0.767438,  2.761333,  -1.062577
53613, 34, 134.246560, 55520,    33.718015, 117.064168, 11.257679, 38.969621,  0.769969,  2.747548,  -1.053541
61842, 34, 111.188670, 63680,    33.707598, 116.774224, 11.285136, 38.197835,  0.731975,  2.758521,  -1.060496
61790, 34, 114.495472, 50576,    33.453064, 109.908276, 11.287309, 37.657634,  0.784290,  2.723588,  -1.036983
62135, 33, 103.481351, 54632,    32.720466, 92.317971, 11.289481, 36.540999,  0.792593,  2.689868,  -1.014472
62435, 33, 93.980230, 61856,    32.802574, 94.140278, 11.211259, 35.406142,  0.757099,  2.688823,  -1.013790
62534, 33, 93.570698, 63944,    32.932721, 97.102750, 11.161679, 35.175468,  0.744321,  2.696844,  -1.018978
62567, 33, 95.517483, 66176,    32.954534, 97.608328, 11.131654, 35.142522,  0.734475,  2.707467,  -1.025763
62478, 33, 98.343682, 67432,    32.966912, 97.896371, 11.052049, 35.098709,  0.741944,  2.717445,  -1.032076
62224, 33, 101.336389, 67752,    33.044363, 99.718179, 10.961975, 34.821910,  0.736605,  2.727191,  -1.038211
61677, 33, 104.868114, 68088,    32.912745, 96.642073, 10.897580, 34.537629,  0.738210,  2.730050,  -1.040002
526863, 31, 61.292305, 529240,    31.217034, 64.542349, 10.818173, 27.190188,  0.000000,  6.666981,  1.781854
58582, 34, 111.453131, 53384,    33.061275, 100.120466, 10.778469, 29.359206,  0.765648,  2.702222,  -1.021351
58726, 33, 102.958906, 66144,    32.934191, 97.136751, 10.760889, 30.047003,  0.743858,  2.710772,  -1.026801
58507, 33, 105.713636, 67152,    32.917647, 96.754920, 10.705383, 30.335643,  0.737685,  2.717947,  -1.031340
58191, 33, 108.329338, 68688,    33.075000, 100.448154, 10.686617, 30.867968,  0.729074,  2.730926,  -1.039476
57704, 34, 113.038693, 63720,    33.784436, 118.929990, 10.661531, 31.496160,  0.718704,  2.751937,  -1.052873
57273, 34, 120.456600, 62952,    33.752206, 118.020934, 10.597728, 31.788622,  0.723488,  2.762823,  -1.059785
56672, 34, 125.364527, 62304,    33.753554, 118.058815, 10.553086, 31.979631,  0.735401,  2.768399,  -1.063322
55726, 34, 129.525057, 60136,    33.709436, 116.825338, 10.513580, 32.206738,  0.738704,  2.765325,  -1.061356
54104, 34, 132.555948, 59416,    33.668627, 115.695849, 10.494222, 32.587531,  0.754136,  2.760259,  -1.058102
49417, 35, 143.909625, 50944,    34.492034, 140.750761, 10.474667, 34.743955,  0.754043,  2.761640,  -1.059030
58145, 34, 121.618075, 61936,    33.723529, 117.217958, 10.411852, 32.651520,  0.723117,  2.765785,  -1.061665
58040, 34, 123.191583, 62168,    33.762255, 118.303618, 10.416593, 33.101406,  0.744074,  2.770274,  -1.064511
57900, 34, 124.972245, 61392,    33.670343, 115.743114, 10.399802, 33.435882,  0.734136,  2.768280,  -1.063244
57751, 34, 124.660805, 61264,    33.707475, 116.770817, 10.410667, 33.340801,  0.740895,  2.767920,  -1.063015
57555, 34, 124.993501, 62232,    33.711029, 116.869655, 10.403556, 33.216872,  0.719877,  2.770114,  -1.064404
57232, 34, 126.472341, 62256,    33.562868, 112.819235, 10.476444, 33.726844,  0.714105,  2.766696,  -1.062242
56747, 34, 126.477594, 63200,    33.538113, 112.156310, 10.492444, 33.821628,  0.727593,  2.765898,  -1.061738
55859, 34, 128.341255, 61832,    33.542034, 112.261068, 10.511012, 34.005776,  0.729753,  2.762300,  -1.059453
54257, 34, 131.102495, 62088,    33.669730, 115.726231, 10.522272, 34.161143,  0.726204,  2.764797,  -1.061039
49382, 35, 145.846528, 54408,    34.551593, 142.760679, 10.529383, 36.660387,  0.734722,  2.776058,  -1.068453
57423, 34, 128.142348, 64688,    33.716422, 117.019777, 10.537679, 34.897009,  0.720895,  2.781122,  -1.071616
57221, 34, 130.331979, 63568,    33.684559, 116.135485, 10.456494, 34.419688,  0.734537,  2.780760,  -1.071389
57003, 34, 130.742457, 63232,    33.734191, 117.515860, 10.497580, 34.633542,  0.729012,  2.781379,  -1.071778
56736, 34, 131.614973, 63352,    33.762377, 118.307069, 10.555457, 35.285290,  0.729444,  2.782995,  -1.072791
56375, 34, 133.080615, 62528,    33.739216, 117.656513, 10.491457, 34.903776,  0.727747,  2.781317,  -1.071735
55909, 34, 133.676683, 61968,    33.758456, 118.196670, 10.551704, 35.417418,  0.745556,  2.779534,  -1.070610
55247, 34, 134.756563, 60336,    33.797426, 119.298355, 10.678321, 36.213424,  0.741296,  2.775709,  -1.068176
54280, 34, 135.931413, 60584,    33.679779, 116.003419, 10.791704, 36.314525,  0.742840,  2.769996,  -1.064540
52313, 34, 139.228676, 61968,    33.864706, 121.224541, 10.892642, 36.796960,  0.744938,  2.775787,  -1.068210
46068, 35, 161.988699, 53160,    34.713971, 148.387390, 10.867358, 39.688560,  0.754969,  2.784843,  -1.074187
56152, 34, 134.409319, 67480,    34.026593, 125.987732, 10.789728, 36.978759,  0.700741,  2.803318,  -1.085548
55837, 35, 141.827384, 59656,    34.586397, 143.948460, 10.923062, 39.614355,  0.716636,  2.815462,  -1.093234
55688, 35, 146.883097, 58792,    34.540564, 142.386319, 10.978963, 40.040928,  0.733519,  2.819430,  -1.095745
55528, 35, 148.900705, 58608,    34.612623, 144.850002, 10.976593, 39.999992,  0.734815,  2.823878,  -1.098558
55322, 35, 151.281482, 56904,    34.600245, 144.423806, 11.031901, 41.094535,  0.749630,  2.821701,  -1.097172
55119, 35, 151.015507, 56024,    34.572181, 143.462121, 10.957235, 40.542016,  0.740031,  2.816983,  -1.094153
54868, 35, 149.867292, 57168,    34.618260, 145.044528, 11.063309, 41.220082,  0.741080,  2.818704,  -1.095250
54355, 35, 152.111572, 55504,    34.634926, 145.621176, 11.158716, 42.000846,  0.750031,  2.815785,  -1.093375
53538, 35, 153.439902, 56400,    34.673407, 146.961327, 11.138568, 41.351836,  0.746389,  2.817725,  -1.094617
50862, 35, 163.149114, 53608,    34.825858, 152.393045, 11.229235, 42.586853,  0.756481,  2.816222,  -1.093642
58398, 34, 139.691306, 63648,    34.060539, 127.010019, 11.333531, 40.447373,  0.735278,  2.816078,  -1.093553
58252, 34, 140.022590, 60576,    33.780025, 118.805144, 11.391210, 39.868387,  0.747654,  2.798965,  -1.082818
58165, 34, 134.152495, 60960,    33.918137, 122.776396, 11.485630, 40.383322,  0.732809,  2.793676,  -1.079485
58041, 34, 132.619157, 59688,    33.726838, 117.310330, 11.565630, 40.392767,  0.748981,  2.780762,  -1.071285
57927, 34, 128.459302, 58040,    33.660172, 115.463180, 11.499654, 39.667972,  0.742315,  2.766220,  -1.061935
57851, 34, 123.757967, 57328,    33.736275, 117.574160, 11.642864, 40.188536,  0.743086,  2.757796,  -1.056471
57781, 34, 121.144566, 47528,    33.640196, 114.915398, 11.695012, 40.458362,  0.783920,  2.722058,  -1.032007
58482, 33, 108.193505, 52576,    32.967402, 97.907796, 11.604741, 38.930482,  0.774043,  2.693509,  -1.012736
59253, 33, 98.627437, 57752,    33.199632, 103.473190, 11.600593, 38.604242,  0.755895,  2.696469,  -1.014704
